"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Address Transactions Control Feature","19","0","","0"
"0","","0","Search Box Best Matches Feature","10","0","","0"
"0","","2","Search Box Categories Brands Sellers Feature","9","0","","0"
"0","","0","Search Box Popular Categories Brands Feature","1","0","","0"
"0","","0","Address Transactions Feature","6","0","","0"
"0","","0","AccountUpdateUserNameSurnameControl Feature","10","0","","0"
"0","","2","LandingPageLinks Feature","14","0","","0"
"0","","0","ListTransactions Feature","1","0","","0"
"0","","0","Product Listing Page Compare Switch","3","0","","0"
"0","","0","AccountUpdatePasswordControl Feature","8","0","","0"
"0","","0","ProductSearchPopularSearches Feature","1","0","","0"
"0","","0","LoginWithMail Feature","1","0","","0"
"0","","1","AccountUpdatePhoneNumber Feature","0","0","","0"
"0","","0","ProductCompareOperations Feature","1","0","","0"
"0","","0","BasketMiniCartOperation Feature","2","0","","0"
"0","","0","LandingPageBrands Feature","12","0","","0"
"0","","3","Register Page Control Feature","22","0","","0"
"0","","1","MailLoginFieldControl Feature","1","0","","0"
"0","","0","Product Listing Page Brand Filter Control","1","0","","0"
"0","","0","ProductSearchWithProductCode Feature","1","0","","0"
"0","","0","Basket Remove Product","1","0","","0"
"0","","0","ProductDeliveryAndReturnConditions Feature","1","0","","0"
"0","","0","Category Outlet Feature","3","0","","0"
"0","","0","Cookie Setup Feature","1","0","","0"
"0","","0","Product Listing Page Titles Control Feature","1","0","","0"
"0","","0","Home Page Stores Feature","2","0","","0"
"0","","0","ProductSearchWithBrand Feature","1","0","","0"
"0","","0","ProductShareWin Feature","1","0","","0"
"0","","0","Basket Add Beatiful Together Product","1","0","","0"
"0","","0","Category Campaigns Feature","2","0","","0"
"0","","1","Product Detail Page Product Add From Other Vendor","0","0","","0"
"0","","0","BasketWarrantyOperations Feature","1","0","","0"
"0","","0","Product Detail Page Exchange Feature","1","0","","0"
"0","","0","ProductProductTechnicalSpecifications Feature","1","0","","0"
"0","","0","AccountUpdateUserNameSurname Feature","1","0","","0"
"0","","0","Product Search And List Feature","2","0","","0"
"0","","0","Product Detail Page Cart Control Feature","1","0","","0"
"0","","0","Order Tracking Feature","2","0","","0"
"0","","1","BasketAddressEdit Feature","0","0","","0"
"0","","0","Basket Delete Product","1","0","","0"
"0","","0","BasketAddressAdding Feature","1","0","","0"
"0","","1","ProductAskVendor Feature","0","0","","0"
"0","","0","Product Detail Page Product Reviews Feature","3","0","","0"
"0","","0","Product Price Tracking Feature","2","0","","0"
"0","","0","ProductPaymentOptions Feature","3","0","","0"
"0","","0","Basket Update Product Count","1","0","","0"
"0","","1","Product Detail Page Benefit Badge Control","0","0","","0"
"0","","1","AllProductsControl Feature","0","0","","0"
"0","","0","Home Page Site Map Control","2","0","","0"
"0","","0","Product Listing Page Filters Range Price Feature","3","0","","0"
"0","","0","Forggotten Password Feature","3","0","","0"
"0","","1","AccountUpdatePhoneNumberControl Feature","3","0","","0"
"0","","0","Basket Remove Product From Icon","1","0","","0"
"0","","0","Product Listing Page General Feature Control","1","0","","0"
"0","","0","ProductSearchWithCategory Feature","1","0","","0"
"0","","0","Product Listing Page Product Cart Feature Control","1","0","","0"
"0","","1","AccountUpdateCommunicationPermissions Feature","0","0","","0"
"0","","0","LandingPageFeaturedToday Feature","1","0","","0"
"0","","1","AddToFavorites Feature","0","0","","0"
"0","","0","ProductReviews Feature","1","0","","0"
"0","","0","Social Login Feature","2","0","","0"
"0","","0","ProductPickUpInStore Feature","1","0","","0"
"0","","0","Basket Add Perfect Combination","1","0","","0"
"0","","0","Product Listing Page Vendor Filter Control","1","0","","0"
"0","","1","Basket Adding Complete With Items","0","0","","0"
"0","","0","Home Page Search Box Control Feature","1","0","","0"
"0","","1","Product Listing Page Price Control","0","0","","0"
"0","","0","Order Detail Page Control Feature","1","0","","0"
"0","","0","Product Detail Page Discounted Products Feature","1","0","","0"
"0","","0","ProductProductDescription Feature","1","0","","0"
"0","","1","AccountUpdatePassword Feature","0","0","","0"
"0","","0","ProductFindInStore Feature","1","0","","0"
"0","","0","LandingPageBannerControl Feature","1","0","","0"
"0","","0","Product Detail Page Credit Opportunity Control","1","0","","0"
"0","","0","Product Listing Page Clear All Filter","1","0","","0"
